title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Toy Story,1995-10-30,81.0,30000000,373554033,21.946943,7.7,5415.0,313554033
Jumanji,1995-12-15,104.0,65000000,262797249,17.015539,6.9,2413.0,132797249
Grumpier Old Men,1995-12-22,101.0,0,0,11.7129,6.5,92.0,0
Waiting to Exhale,1995-12-22,127.0,16000000,81452156,3.859495,6.1,34.0,49452156
Father of the Bride Part II,1995-02-10,106.0,0,76578911,8.387519,5.7,173.0,76578911
Heat,1995-12-15,170.0,60000000,187436818,17.924927,7.7,1886.0,67436818
Sabrina,1995-12-15,127.0,58000000,0,6.677277,6.2,141.0,-116000000
Tom and Huck,1995-12-22,97.0,0,0,2.561161,5.4,45.0,0
Sudden Death,1995-12-22,106.0,35000000,64350171,5.23158,5.5,174.0,-5649829
GoldenEye,1995-11-16,130.0,58000000,352194034,14.686036,6.6,1194.0,236194034
The American President,1995-11-17,106.0,62000000,107879496,6.318445,6.5,199.0,-16120504
Dracula: Dead and Loving It,1995-12-22,88.0,0,0,5.430331,5.7,210.0,0
Balto,1995-12-22,78.0,0,11348324,12.140733,7.1,423.0,11348324
Nixon,1995-12-22,192.0,44000000,13681765,5.092,7.1,72.0,-74318235
Cutthroat Island,1995-12-22,119.0,98000000,10017322,7.284477,5.7,137.0,-185982678
Casino,1995-11-22,178.0,52000000,116112375,10.137389,7.8,1343.0,12112375
Sense and Sensibility,1995-12-13,136.0,16500000,135000000,10.673167,7.2,364.0,102000000
Four Rooms,1995-12-09,98.0,4000000,4300000,9.026586,6.5,539.0,-3700000
Ace Ventura: When Nature Calls,1995-11-10,90.0,30000000,212385533,8.205448,6.1,1128.0,152385533
Money Train,1995-11-21,103.0,60000000,35431113,7.337906,5.4,224.0,-84568887
Get Shorty,1995-10-20,105.0,30250000,115101622,12.669608,6.4,305.0,54601622
Copycat,1995-10-27,124.0,0,0,10.701801,6.5,199.0,0
Assassins,1995-10-06,132.0,50000000,30303072,11.065939,6.0,394.0,-69696928
Powder,1995-10-27,111.0,0,0,12.133094,6.3,143.0,0
Leaving Las Vegas,1995-10-27,112.0,3600000,49800000,10.332025,7.1,365.0,42600000
Othello,1995-12-15,123.0,0,0,1.845899,7.0,33.0,0
Now and Then,1995-10-20,100.0,12000000,27400000,8.681325,6.6,91.0,3400000
Persuasion,1995-09-27,104.0,0,0,2.228434,7.4,36.0,0
The City of Lost Children,1995-05-16,108.0,18000000,1738611,9.822423,7.6,308.0,-34261389
Shanghai Triad,1995-04-30,108.0,0,0,1.100915,6.5,17.0,0
Dangerous Minds,1995-08-11,99.0,0,180000000,9.481338,6.4,249.0,180000000
Twelve Monkeys,1995-12-29,129.0,29500000,168840000,12.297305,7.4,2470.0,109840000
Wings of Courage,1996-09-18,50.0,0,0,0.745542,6.8,4.0,0
Babe,1995-07-18,89.0,30000000,254134910,14.404764,6.0,756.0,194134910
Carrington,1995-11-08,121.0,0,0,1.493361,6.4,16.0,0
Dead Man Walking,1995-12-29,122.0,11000000,39363635,6.891317,7.3,350.0,17363635
Across the Sea of Time,1995-10-20,51.0,0,0,0.114469,3.5,2.0,0
It Takes Two,1995-11-17,101.0,0,0,7.777735,6.1,149.0,0
Clueless,1995-07-19,97.0,12000000,0,9.882383,6.9,828.0,-24000000
"Cry, the Beloved Country",1995-12-15,106.0,0,676525,0.894647,6.7,13.0,676525
Richard III,1995-12-29,104.0,0,0,4.561387,6.9,50.0,0
Dead Presidents,1995-10-06,119.0,10000000,0,9.87957,6.6,80.0,-20000000
Restoration,1995-12-29,117.0,19000000,0,10.979269,6.3,30.0,-38000000
Mortal Kombat,1995-08-18,101.0,18000000,122195920,10.870138,5.4,452.0,86195920
To Die For,1995-05-20,106.0,20000000,21284514,10.448481,6.7,177.0,-18715486
How To Make An American Quilt,1995-10-06,116.0,10000000,23574130,4.485958,6.5,38.0,3574130
Se7en,1995-09-22,127.0,33000000,327311859,18.45743,8.1,5915.0,261311859
Pocahontas,1995-06-14,81.0,55000000,346079773,13.280069,6.7,1509.0,236079773
When Night Is Falling,1995-05-05,96.0,0,0,3.302524,5.9,10.0,0
The Usual Suspects,1995-07-19,106.0,6000000,23341568,16.302466,8.1,3334.0,11341568
Guardian Angel,1994-11-22,93.0,0,0,0.595949,6.3,3.0,0
Mighty Aphrodite,1995-09-13,95.0,15000000,6700000,15.899134,6.7,145.0,-23300000
Lamerica,1994-01-01,116.0,0,0,1.361286,7.7,11.0,0
The Big Green,1995-09-29,100.0,0,0,5.982764,5.2,41.0,0
Georgia,1995-05-19,115.0,0,0,4.093443,6.1,15.0,0
Kids of the Round Table,1997-07-08,89.0,0,0,0.307075,3.0,1.0,0
Home for the Holidays,1995-11-02,103.0,0,17519169,8.416802,6.3,39.0,17519169
The Postman,1994-09-22,108.0,0,0,10.168437,7.6,181.0,0
The Confessional,1995-09-29,100.0,0,0,0.120789,6.5,2.0,0
The Indian in the Cupboard,1995-07-14,96.0,45000000,0,10.673296,5.9,136.0,-90000000
Eye for an Eye,1996-01-12,101.0,20000000,0,4.733526,5.8,65.0,-40000000
Mr. Hollands Opus,1995-12-29,137.0,0,106269971,7.137117,6.9,115.0,106269971
Dont Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,89.0,0,0,11.700115,6.2,192.0,0
Two If by Sea,1996-01-12,96.0,0,0,2.174487,4.5,14.0,0
Bio-Dome,1996-01-12,88.0,15000000,0,6.387469,4.4,110.0,-30000000
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,92.0,0,2409225,2.49535,2.8,32.0,2409225
Two Bits,1995-10-22,85.0,0,0,4.046208,5.4,11.0,0
French Twist,1995-02-08,95.0,0,0,2.518051,6.0,43.0,0
Friday,1995-04-26,91.0,3500000,28215918,14.56965,7.0,513.0,21215918
From Dusk Till Dawn,1996-01-19,108.0,19000000,25836616,15.339153,6.9,1644.0,-12163384
Fair Game,1995-11-03,91.0,50000000,11534477,5.912223,4.1,54.0,-88465523
Kicking and Screaming,1995-10-06,96.0,0,718490,3.367276,7.0,36.0,718490
Les Miserables,1995-03-22,175.0,0,0,1.479446,6.6,8.0,0
Bed of Roses,1996-01-26,87.0,0,19030691,10.412194,5.1,27.0,19030691
Big Bully,1996-01-26,90.0,15000000,2042530,2.936443,3.9,16.0,-27957470
Screamers,1995-09-08,108.0,20000000,5781885,12.758848,6.1,154.0,-34218115
Nico Icon,1995-02-18,70.0,0,0,0.133893,7.3,3.0,0
The Crossing Guard,1995-11-15,111.0,0,0,5.756462,6.1,74.0,0
The Juror,1996-02-02,118.0,44000000,0,6.010579,5.5,91.0,-88000000
The White Balloon,1995-01-01,85.0,0,0,1.196256,7.5,20.0,0
Things to Do in Denver When Youre Dead,1995-12-01,116.0,8000000,529766,4.486179,6.7,87.0,-15470234
Antonias Line,1995-09-12,102.0,900000,0,2.030174,7.2,26.0,-1800000
Once Upon a Time... When We Were Colored,1996-01-26,115.0,0,0,0.252287,4.5,2.0,0
Last Summer in the Hamptons,1995-11-22,108.0,0,0,0.531159,0.0,0.0,0
Angels and Insects,1995-09-10,118.0,0,0,2.15166,6.3,17.0,0
White Squall,1996-02-02,129.0,38000000,10300000,9.568604,6.3,86.0,-65700000
Dunston Checks In,1996-01-12,88.0,16000000,0,4.814825,5.1,59.0,-32000000
Black Sheep,1996-02-01,87.0,0,32,8.963037,6.0,124.0,32
Nick of Time,1995-11-22,90.0,8169363,8175346,6.848591,6.1,190.0,-8163380
The Journey of August King,1995-09-14,91.0,0,0,0.411424,6.7,3.0,0
Mary Reilly,1996-02-23,104.0,47000000,12379402,12.866139,5.7,77.0,-81620598
Vampire in Brooklyn,1995-10-26,100.0,14000000,19800000,9.071127,4.5,113.0,-8200000
Beautiful Girls,1996-02-09,112.0,0,0,4.670562,6.6,103.0,0
Broken Arrow,1996-02-09,108.0,50000000,150270147,14.957626,5.7,459.0,50270147
