us_state,title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Alabama,To Kill a Mockingbird,1962-12-25,129,2000000,13129846,14.284787,7.9,676,9129846
Alaska,Into the Wild,2007-09-11,148,15000000,56255142,15.423538,7.8,3139,26255142
Arizona,Cartel Land,2015-07-03,100,0,0,4.889765,7.4,160,0
Arkansas,Walk the Line,2005-09-13,136,28000000,186438883,11.476443,7.3,732,130438883
California,Vertigo,1958-05-09,128,2479000,28000000,18.20822,8,1162,23042000
Colorado,Misery,1990-11-28,107,20000000,61276872,15.020845,7.6,1085,21276872
Connecticut,Far from Heaven,2002-09-01,107,13500000,29027914,10.107519,6.9,145,2027914
Delaware,Goosebumps,2015-08-05,103,58000000,158162788,12.365292,6.2,1022,42162788
Florida,Scarface,1983-12-08,170,25000000,65884703,11.299673,8,3017,15884703
Georgia,Smokey and the Bandit,1977-05-26,96,0,126737428,7.68372,6.8,197,126737428
Hawaii,From Here to Eternity,1953-08-28,118,1650000,30500000,5.358582,7.2,137,27200000
Idaho,My Own Private Idaho,1991-10-17,104,2500000,0,7.289727,7.1,218,-5000000
Illinois,The Untouchables,1987-06-02,119,25000000,76270454,11.062203,7.6,1424,26270454
Indiana,An American Crime,2007-07-27,97,2000000,0,7.478007,7.3,165,-4000000
Iowa,The Straight Story,1999-10-15,112,10000000,0,14.580995,7.7,315,-20000000
Kansas,Oz: The Great and Powerful,2013-03-07,130,200000000,491868548,11.137329,5.7,3576,91868548
Kentucky,Elizabethtown,2005-10-06,123,57000000,52034889,11.82081,6.1,335,-61965111
Louisiana,A Streetcar Named Desire,1951-09-18,125,1800000,8000000,7.301719,7.6,291,4400000
Maine,The Iron Giant,1999-08-06,86,70000000,23159305,15.441459,7.6,1470,-116840695
Maryland,...And Justice for All,1979-10-19,119,0,33300000,6.291512,7.1,118,33300000
Massachusetts,The Departed,2006-10-05,151,90000000,289847354,18.515448,7.9,4455,109847354
Michigan,Gran Torino,2008-12-09,116,33000000,269958228,14.794228,7.8,3181,203958228
Minnesota,Fargo,1996-04-05,98,7000000,60611975,12.61469,7.7,2080,46611975
Mississippi,The Help,2011-08-09,146,25000000,124272124,7.486118,7.9,1966,74272124
Missouri,Waiting for Guffman,1996-01-31,84,0,0,8.130999,7.4,66,0
Montana,Nebraska,2013-09-21,115,12000000,17654912,11.160699,7.4,648,-6345088
Nebraska,Nebraska,2013-09-21,115,12000000,17654912,11.160699,7.4,648,-6345088
Nevada,The Godfather: Part II,1974-12-20,200,13000000,47542841,36.629307,8.3,3418,21542841
New Hampshire,The Brown Bunny,2004-08-27,93,10000000,0,4.735377,5.5,63,-20000000
New Jersey,The Station Agent,2003-01-26,88,500000,8679814,5.85469,7.4,213,7679814
New Mexico,Ace in the Hole,1951-06-29,111,1821052,1300000,11.046411,7.9,128,-2342104
New York,The Godfather: Part II,1974-12-20,200,13000000,47542841,36.629307,8.3,3418,21542841
North Carolina,Safe Haven,2013-02-07,115,28000000,97594140,7.598422,6.9,840,41594140
North Dakota,The Messengers,2007-02-02,90,16000000,1109660,9.629399,5.6,216,-30890340
Ohio,Stranger Than Paradise,1984-10-01,89,0,0,11.33706,7.4,112,0
Oklahoma,True Grit,1969-06-11,128,0,14250000,12.497833,7.3,205,14250000
Oregon,If I Stay,2014-08-21,106,11000000,78874843,9.659244,7.3,1415,56874843
Pennsylvania,Rocky,1976-11-21,119,1000000,117235147,14.774066,7.5,1843,115235147
Rhode Island,Dumb and Dumberer: When Harry Met Lloyd,2003-06-13,85,19000000,39267515,9.280038,4.1,211,1267515
South Carolina,The Secret Life of Bees,2008-09-17,114,11000000,38105395,6.390463,7.4,159,16105395
South Dakota,Son in Law,1993-07-02,95,0,36448200,9.122718,5.6,81,36448200
Tennessee,Walk the Line,2005-09-13,136,28000000,186438883,11.476443,7.3,732,130438883
Texas,The Thin Blue Line,1988-08-28,103,0,0,5.070224,7.9,109,0
Utah,127 Hours,2010-11-05,94,18000000,35692920,11.176797,7,2668,-307080
Vermont,Spellbound,1945-12-28,111,1500000,7000000,5.47596,7.3,166,4000000
Virginia,Lawless,2012-08-29,115,26000000,53676580,7.968423,6.8,1055,1676580
Washington,Cobain: Montage of Heck,2015-03-23,132,0,0,6.516131,7.5,284,0
West Virginia,Tucker and Dale vs Evil,2010-01-22,89,5000000,5476793,6.771868,7.3,860,-4523207
Wisconsin,The Straight Story,1999-10-15,112,10000000,0,14.580995,7.7,315,-20000000
Wyoming,Butch Cassidy and the Sundance Kid,1969-09-23,110,6000000,102308889,6.714577,7.4,659,90308889
