us_state,title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Alabama,To Kill a Mockingbird,1962-12-25,129,2000000,13129846,14.284787,7.9,676,9129846
Alaska,Into the Grizzly Maze,2015-02-27,94,10000000,0,15.860139,5.1,74,-20000000
Arizona,3:10 to Yuma,2007-09-06,122,55000000,70016220,18.079094,6.9,1210,-39983780
Arkansas,Brubaker,1980-06-20,125,0,37121708,14.503963,7.1,98,37121708
California,Blade Runner,1982-06-25,117,28000000,33139618,96.272374,7.9,3833,-22860382
Colorado,Misery,1990-11-28,107,20000000,61276872,15.020845,7.6,1085,21276872
Connecticut,Revolutionary Road,2008-12-19,119,35000000,75225693,12.265867,6.8,824,5225693
Delaware,Goosebumps,2015-08-05,103,58000000,158162788,12.365292,6.2,1022,42162788
Florida,Rough Night,2017-06-15,101,20000000,45056771,24.317924,5.6,336,5056771
Georgia,No Good Deed,2014-09-10,83,13200000,53830415,24.644321,5.6,182,27430415
Hawaii,Lilo & Stitch,2002-06-21,85,80000000,145771527,18.469238,7.1,1371,-14228473
Idaho,My Own Private Idaho,1991-10-17,104,2500000,0,7.289727,7.1,218,-5000000
Illinois,The Founder,2016-11-24,115,25000000,23964782,17.523343,7,855,-26035218
Indiana,The Better Angels,2014-01-18,95,0,70918,9.266214,6.9,16,70918
Iowa,Field of Dreams,1989-04-21,107,0,84431625,16.759454,7.1,383,84431625
Kansas,Marmaduke,2010-06-04,87,50000000,83761844,12.285545,5,150,-16238156
Kentucky,Elizabethtown,2005-10-06,123,57000000,52034889,11.82081,6.1,335,-61965111
Louisiana,Girls Trip,2017-07-21,122,0,0,37.964872,7.1,393,0
Maine,The Iron Giant,1999-08-06,86,70000000,23159305,15.441459,7.6,1470,-116840695
Maryland,The Blair Witch Project,1999-07-14,81,60000,248000000,14.838386,6.3,1090,247880000
Massachusetts,The Departed,2006-10-05,151,90000000,289847354,18.515448,7.9,4455,109847354
Michigan,Gran Torino,2008-12-09,116,33000000,269958228,14.794228,7.8,3181,203958228
Minnesota,Fargo,1996-04-05,98,7000000,60611975,12.61469,7.7,2080,46611975
Mississippi,Django Unchained,2012-12-25,165,100000000,425368238,19.785025,7.8,10297,225368238
Missouri,City Heat,1984-12-05,93,25000000,38348988,12.881025,5.1,49,-11651012
Montana,A River Runs Through It,1992-10-09,123,0,43440294,12.583826,7,241,43440294
Nebraska,The Whistleblower,2010-09-13,112,0,0,12.510849,6.6,157,0
Nevada,The Godfather: Part II,1974-12-20,200,13000000,47542841,36.629307,8.3,3418,21542841
New Hampshire,The Brown Bunny,2004-08-27,93,10000000,0,4.735377,5.5,63,-20000000
New Jersey,Daylight,1996-12-06,115,80000000,159212469,11.995799,5.8,385,-787531
New Mexico,Wild Hogs,2007-03-02,100,0,253625427,11.356011,5.7,666,253625427
New York,The Godfather: Part II,1974-12-20,200,13000000,47542841,36.629307,8.3,3418,21542841
North Carolina,Kiss the Girls,1997-10-03,115,27000000,60527873,12.235391,6.2,353,6527873
North Dakota,Fargo,1996-04-05,98,7000000,60611975,12.61469,7.7,2080,46611975
Ohio,Super 8,2011-06-08,112,50000000,260095987,19.529911,6.6,2496,160095987
Oklahoma,True Grit,1969-06-11,128,0,14250000,12.497833,7.3,205,14250000
Oregon,The Shack,2017-03-03,132,20000000,57330873,16.392712,6.9,330,17330873
Pennsylvania,Dawn of the Dead,1978-09-02,127,650000,55000000,19.24201,7.4,597,53700000
Rhode Island,"Me, Myself & Irene",2000-06-22,116,51000000,149270999,9.95456,6.1,956,47270999
South Carolina,The Secret Life of Bees,2008-09-17,114,11000000,38105395,6.390463,7.4,159,16105395
South Dakota,Son in Law,1993-07-02,95,0,36448200,9.122718,5.6,81,36448200
Tennessee,The Blind Side,2009-11-20,129,29000000,309208309,12.753109,7.2,1626,251208309
Texas,The Bad Batch,2017-06-23,119,6000000,0,78.8072,5.3,160,-12000000
Utah,Broken Arrow,1996-02-09,108,50000000,150270147,14.957626,5.7,459,50270147
Vermont,Thank You for Smoking,2005-09-05,92,6500000,24793509,9.369527,7.1,670,11793509
Virginia,Loving,2016-11-04,123,9000000,8996802,7.977391,6.5,275,-9003198
Washington,The Twilight Saga: Eclipse,2010-06-23,124,68000000,698491347,34.047399,5.9,2382,562491347
West Virginia,Wrong Turn 2: Dead End,2007-08-25,96,4000000,0,16.34615,5.5,275,-8000000
Wisconsin,The Straight Story,1999-10-15,112,10000000,0,14.580995,7.7,315,-20000000
Wyoming,D-Tox,2002-01-04,96,55000000,6416302,13.374415,5.4,126,-103583698
