us_state,release_date,title,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Alabama,1993-09-09,True Romance,120.0,12500000,12281551,17.189328,7.5,762.0,-12718449
Alabama,1962-12-25,To Kill a Mockingbird,129.0,2000000,13129846,14.284787,7.9,676.0,9129846
Alabama,2013-10-10,Captain Phillips,134.0,55000000,95000000,13.776068,7.6,2495.0,-15000000
Alabama,2002-09-26,Sweet Home Alabama,108.0,30000000,180622424,8.587129,6.1,408.0,120622424
Alabama,1992-03-13,My Cousin Vinny,120.0,11000000,64088552,7.922216,7.3,393.0,42088552
Alabama,1999-10-22,Crazy in Alabama,111.0,0,0,7.250842,6.5,13.0,0
California,1999-10-22,Crazy in Alabama,111.0,0,0,7.250842,6.5,13.0,0
Alabama,2014-12-25,Selma,127.0,20000000,66787908,7.107071,7.4,835.0,26787908
Alabama,1991-12-27,Fried Green Tomatoes,130.0,11000000,119418501,6.584254,7.6,298.0,97418501
Alabama,2009-09-27,Alabama Moon,99.0,0,0,5.751436,6.3,18.0,0
Alabama,1990-12-21,The Long Walk Home,97.0,0,0,4.636786,6.4,14.0,0
Alabama,2007-09-10,Honeydripper,124.0,0,0,2.461063,5.3,8.0,0
Alabama,1976-04-23,Stay Hungry,102.0,5000000,24854765,2.44274,5.8,15.0,14854765
Alabama,2013-09-27,Muscle Shoals,111.0,0,0,2.155926,7.2,26.0,0
Tennessee,2013-09-27,Muscle Shoals,111.0,0,0,2.155926,7.2,26.0,0
Alabama,1941-05-30,In the Navy,86.0,0,0,1.499739,6.2,8.0,0
Alabama,1971-08-15,Brother John,95.0,0,0,0.9413,6.2,5.0,0
Alabama,2004-01-01,Home of the Brave,75.0,0,0,0.660996,0.0,0.0,0
Alabama,1997-07-09,4 Little Girls,102.0,0,0,0.639411,6.7,12.0,0
Alabama,2006-07-20,Heavens Fall,105.0,4000000,0,0.527074,5.5,4.0,-8000000
New York,2006-07-20,Heavens Fall,105.0,4000000,0,0.527074,5.5,4.0,-8000000
Alabama,2007-09-23,The War,874.0,0,0,0.487489,5.3,3.0,0
California,2007-09-23,The War,874.0,0,0,0.487489,5.3,3.0,0
